Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
38	-48.16936	0.48270693	-47.338043	-48.499546	-9.285304	0.047596805	-9.199826	-9.361911	1000.0	1000.0	151999	42.29342	18.47546	53.09801	-126.228355	42.293743	18.474537	53.097183	-117.3902	-2.4107707	1.2772558	26.14599	-10.195051	-42.85142	1.082226	2199.560038805008
39	-48.426342	1.9652268	-46.356174	-50.617065	-8.045492	0.033420023	-7.9936414	-8.103926	1000.0	1000.0	155999	42.38565	18.328669	53.264347	-109.044136	42.386215	18.326788	53.203808	-110.92338	-2.4230363	1.2272594	20.78821	-10.370412	-42.936054	0.98439175	2275.7655968666077
40	-50.307056	4.516808	-46.969788	-58.083565	-5.569047	0.31483018	-4.917302	-5.9791303	1000.0	1000.0	159999	42.41529	18.356724	53.019028	-126.34877	42.41563	18.355427	53.025333	-123.782936	-2.4223206	1.2422587	22.095432	-11.805301	-42.969307	0.9891946	2353.1065423488617
41	-47.137047	1.7914419	-44.577625	-49.56604	-7.7034073	0.028837562	-7.6515927	-7.750333	1000.0	1000.0	163999	42.53076	18.263573	52.977425	-127.96249	42.53121	18.262232	52.71044	-132.85146	-2.43366	1.1953769	25.933655	-10.916015	-43.08056	1.0090431	2430.6097960472107
42	-46.055912	1.3884277	-44.21706	-48.090126	-7.9235487	1.0472566	-6.283158	-9.115056	1000.0	1000.0	167999	42.67126	18.049662	53.28595	-115.165726	42.67136	18.049057	52.917007	-115.00023	-2.437103	1.2197994	25.725544	-8.689095	-43.223755	0.97324437	2508.7858412265778
43	-45.08154	1.0916371	-43.89017	-46.81737	-7.9920516	0.10555428	-7.737549	-8.100042	1000.0	1000.0	171999	42.891975	17.496334	52.869778	-112.423454	42.89211	17.495905	52.742702	-112.64726	-2.4491997	1.2033294	29.693058	-10.407541	-43.443024	0.91510105	2587.270674943924
44	-47.35993	0.7305019	-46.330708	-48.31159	-8.242254	0.03330345	-8.19663	-8.308914	1000.0	1000.0	175999	42.998035	17.335958	52.666378	-113.2634	42.998035	17.33521	52.73131	-114.037094	-2.4488986	1.2087886	27.781216	-9.78768	-43.547436	0.8346759	2666.0216546058655
45	-46.97704	1.8863	-44.85728	-49.409138	-8.407292	0.2256413	-8.163683	-8.788883	1000.0	1000.0	179999	43.14583	17.128405	52.659515	-119.71814	43.146194	17.126493	52.92365	-116.15962	-2.4540906	1.1826591	22.161037	-10.146221	-43.696735	0.83622295	2745.3140366077423
46	-47.76838	1.7542107	-45.906742	-49.92199	-9.091768	0.026459975	-9.0560055	-9.125364	1000.0	1000.0	183999	43.249474	16.966911	52.532085	-115.56297	43.249683	16.966259	52.464333	-112.75739	-2.4661026	1.1446533	20.69894	-11.603117	-43.79632	0.7653943	2825.104421377182
47	-46.745205	1.5714686	-44.12202	-48.299286	-8.521464	0.12946858	-8.297309	-8.684949	1000.0	1000.0	187999	43.283524	17.151361	53.234573	-120.94965	43.283714	17.15055	52.886463	-117.580315	-2.4696088	1.1301019	26.537758	-9.587507	-43.826603	0.7921267	2905.4446787834167
48	-46.634666	1.6690145	-44.219383	-48.93736	-6.6223884	0.15150765	-6.350177	-6.8154964	1000.0	1000.0	191999	43.34888	17.222263	53.06254	-115.44714	43.34924	17.220354	53.206287	-114.75087	-2.4760911	1.1188735	19.697428	-11.767349	-43.89447	0.9018827	2986.1925842761993
49	-48.011433	1.1034021	-46.98205	-49.810604	-7.996643	0.026057206	-7.965149	-8.03864	1000.0	1000.0	195999	43.438534	17.18768	53.209427	-108.48056	43.43866	17.186392	53.299503	-109.93265	-2.4794407	1.0979673	22.7122	-10.055417	-43.97932	0.9219724	3067.132670402527
50	-49.63803	0.71713525	-48.89814	-50.64861	-7.754522	0.060889233	-7.6921377	-7.8691654	1000.0	1000.0	199999	43.564335	16.915497	53.69391	-135.75131	43.564484	16.914328	53.656525	-139.38997	-2.4762793	1.1305671	23.222866	-10.715974	-44.110924	0.89415485	3147.8330788612366
